ruta,num_articulo,estado_editorial,robots_meta_implementado,en_sitemap,canonical_implementado,url_conservada,presentada_como_fuente_verificada
/leyes/1,1,contaminado,"index:false, follow:true",excluida,/leyes/1 (self),si,no
/consultas/articulo-1-legislacion-penal-honduras,1,contaminado,"index:false, follow:true",excluida,/leyes/1,si,no
/leyes/2,2,contaminado,"index:false, follow:true",excluida,/leyes/2 (self),si,no
/consultas/articulo-2-legislacion-penal-honduras,2,contaminado,"index:false, follow:true",excluida,/leyes/2,si,no
/leyes/3,3,contaminado,"index:false, follow:true",excluida,/leyes/3 (self),si,no
/consultas/articulo-3-legislacion-penal-honduras,3,contaminado,"index:false, follow:true",excluida,/leyes/3,si,no
/leyes/5,5,contaminado,"index:false, follow:true",excluida,/leyes/5 (self),si,no
/consultas/articulo-5-legislacion-penal-honduras,5,contaminado,"index:false, follow:true",excluida,/leyes/5,si,no
/leyes/6,6,contaminado,"index:false, follow:true",excluida,/leyes/6 (self),si,no
/consultas/articulo-6-legislacion-penal-honduras,6,contaminado,"index:false, follow:true",excluida,/leyes/6,si,no
/leyes/8,8,contaminado,"index:false, follow:true",excluida,/leyes/8 (self),si,no
/consultas/articulo-8-legislacion-penal-honduras,8,contaminado,"index:false, follow:true",excluida,/leyes/8,si,no
/leyes/10,10,contaminado,"index:false, follow:true",excluida,/leyes/10 (self),si,no
/consultas/articulo-10-legislacion-penal-honduras,10,contaminado,"index:false, follow:true",excluida,/leyes/10,si,no
/leyes/11,11,limpio,"index:true, follow:true",incluida,/leyes/11 (self),si,si
/consultas/articulo-11-legislacion-penal-honduras,11,limpio,"index:true, follow:true",incluida,/leyes/11,si,si (via canonical hacia /leyes)
/leyes/12,12,limpio,"index:true, follow:true",incluida,/leyes/12 (self),si,si
/consultas/articulo-12-legislacion-penal-honduras,12,limpio,"index:true, follow:true",incluida,/leyes/12,si,si (via canonical hacia /leyes)
/leyes/14,14,limpio,"index:true, follow:true",incluida,/leyes/14 (self),si,si
/consultas/articulo-14-legislacion-penal-honduras,14,limpio,"index:true, follow:true",incluida,/leyes/14,si,si (via canonical hacia /leyes)
/leyes/16,16,contaminado,"index:false, follow:true",excluida,/leyes/16 (self),si,no
/consultas/articulo-16-legislacion-penal-honduras,16,contaminado,"index:false, follow:true",excluida,/leyes/16,si,no
/leyes/18,18,contaminado,"index:false, follow:true",excluida,/leyes/18 (self),si,no
/consultas/articulo-18-legislacion-penal-honduras,18,contaminado,"index:false, follow:true",excluida,/leyes/18,si,no
/leyes/23,23,contaminado,"index:false, follow:true",excluida,/leyes/23 (self),si,no
/consultas/articulo-23-legislacion-penal-honduras,23,contaminado,"index:false, follow:true",excluida,/leyes/23,si,no
/leyes/24,24,contaminado,"index:false, follow:true",excluida,/leyes/24 (self),si,no
/consultas/articulo-24-legislacion-penal-honduras,24,contaminado,"index:false, follow:true",excluida,/leyes/24,si,no
/leyes/25,25,limpio,"index:true, follow:true",incluida,/leyes/25 (self),si,si
/consultas/articulo-25-legislacion-penal-honduras,25,limpio,"index:true, follow:true",incluida,/leyes/25,si,si (via canonical hacia /leyes)
/leyes/26,26,contaminado,"index:false, follow:true",excluida,/leyes/26 (self),si,no
/consultas/articulo-26-legislacion-penal-honduras,26,contaminado,"index:false, follow:true",excluida,/leyes/26,si,no
/leyes/27,27,contaminado,"index:false, follow:true",excluida,/leyes/27 (self),si,no
